"","parking","rooms","balcony","terrace","price","elevator","surface","heating","swimming_pool","air_conditioner","tipo_vivienda"
"161",FALSE,4,FALSE,FALSE,280000,TRUE,84,FALSE,FALSE,FALSE,"Piso"
"162",TRUE,3,FALSE,FALSE,380000,TRUE,97,FALSE,FALSE,FALSE,"Piso"
"163",FALSE,3,FALSE,FALSE,189474,TRUE,71,FALSE,FALSE,FALSE,"Piso"
"164",FALSE,3,FALSE,FALSE,156000,TRUE,72,FALSE,FALSE,FALSE,"Piso"
"165",FALSE,3,FALSE,FALSE,290000,TRUE,117,FALSE,FALSE,FALSE,"Piso"
"166",FALSE,3,FALSE,FALSE,259000,TRUE,152,FALSE,FALSE,FALSE,"Otros"
"167",FALSE,3,FALSE,FALSE,373000,FALSE,106,FALSE,FALSE,FALSE,"Piso"
"168",FALSE,3,FALSE,FALSE,280000,FALSE,111,FALSE,FALSE,FALSE,"Piso"
"169",FALSE,3,FALSE,FALSE,296000,FALSE,112,FALSE,FALSE,FALSE,"Piso"
"170",FALSE,3,FALSE,FALSE,398000,FALSE,89,FALSE,FALSE,FALSE,"Piso"
"172",FALSE,2,FALSE,FALSE,304000,FALSE,70,FALSE,FALSE,FALSE,"Piso"
"173",FALSE,2,FALSE,FALSE,305000,FALSE,68,FALSE,FALSE,FALSE,"Piso"
"174",FALSE,2,FALSE,FALSE,319000,FALSE,70,FALSE,FALSE,FALSE,"Piso"
"175",FALSE,2,FALSE,FALSE,310000,FALSE,69,FALSE,FALSE,FALSE,"Piso"
"176",FALSE,2,FALSE,FALSE,315000,FALSE,68,FALSE,FALSE,FALSE,"Piso"
"177",FALSE,3,FALSE,FALSE,341300,FALSE,151,FALSE,FALSE,FALSE,"Otros"
"178",FALSE,2,FALSE,FALSE,178000,FALSE,90,TRUE,FALSE,FALSE,"Piso"
"179",FALSE,4,FALSE,FALSE,490000,FALSE,103,FALSE,FALSE,FALSE,"Piso"
"180",FALSE,3,FALSE,FALSE,360000,FALSE,89,FALSE,FALSE,FALSE,"Piso"
"181",FALSE,3,FALSE,FALSE,199900,TRUE,68,FALSE,FALSE,FALSE,"Piso"
"182",FALSE,2,FALSE,FALSE,90000,FALSE,82,FALSE,FALSE,FALSE,"Piso"
"183",FALSE,6,FALSE,FALSE,237360,FALSE,129,FALSE,FALSE,FALSE,"Casa"
"184",TRUE,3,FALSE,FALSE,315000,FALSE,105,FALSE,FALSE,TRUE,"Piso"
"185",TRUE,4,FALSE,FALSE,239000,FALSE,126,FALSE,FALSE,TRUE,"Piso"
"187",TRUE,3,FALSE,FALSE,312000,FALSE,129,FALSE,FALSE,TRUE,"Piso"
"188",TRUE,4,FALSE,FALSE,349800,TRUE,106,FALSE,FALSE,FALSE,"Piso"
"189",TRUE,3,FALSE,FALSE,324500,TRUE,91,FALSE,FALSE,FALSE,"Piso"
"190",FALSE,4,FALSE,FALSE,125690,FALSE,68,FALSE,FALSE,FALSE,"Piso"
"191",FALSE,3,FALSE,FALSE,91000,FALSE,80,FALSE,FALSE,FALSE,"Piso"
"192",FALSE,2,FALSE,FALSE,258500,FALSE,73,FALSE,FALSE,FALSE,"Otros"
"193",TRUE,3,FALSE,FALSE,495000,TRUE,89,FALSE,FALSE,FALSE,"Piso"
"194",TRUE,3,FALSE,FALSE,475000,TRUE,89,FALSE,FALSE,FALSE,"Piso"
"195",TRUE,2,FALSE,FALSE,430000,TRUE,64,FALSE,FALSE,FALSE,"Piso"
"196",FALSE,4,FALSE,TRUE,270000,FALSE,189,FALSE,FALSE,FALSE,"Casa"
"197",FALSE,3,FALSE,FALSE,495000,FALSE,117,FALSE,FALSE,FALSE,"Piso"
"198",FALSE,3,FALSE,FALSE,485000,FALSE,122,FALSE,FALSE,FALSE,"Piso"
"199",FALSE,2,FALSE,TRUE,179000,FALSE,61,FALSE,FALSE,TRUE,"Piso"
"202",TRUE,4,FALSE,FALSE,345000,TRUE,108,FALSE,FALSE,FALSE,"Piso"
"203",FALSE,4,FALSE,FALSE,399379,TRUE,119,FALSE,FALSE,FALSE,"Piso"
"204",FALSE,3,FALSE,TRUE,350000,FALSE,182,FALSE,FALSE,FALSE,"Casa"
"205",TRUE,4,FALSE,FALSE,379343,FALSE,114,FALSE,FALSE,FALSE,"Piso"
"206",FALSE,4,FALSE,FALSE,479695,TRUE,127,FALSE,FALSE,FALSE,"Piso"
"207",FALSE,4,FALSE,FALSE,379343,TRUE,114,TRUE,FALSE,FALSE,"Piso"
"208",FALSE,4,FALSE,FALSE,276400,FALSE,158,TRUE,FALSE,FALSE,"Casa"
"209",FALSE,4,FALSE,FALSE,157990,TRUE,74,FALSE,FALSE,TRUE,"Piso"
"210",FALSE,3,FALSE,FALSE,150000,TRUE,58,FALSE,FALSE,FALSE,"Piso"
"211",FALSE,3,FALSE,FALSE,350000,FALSE,82,FALSE,FALSE,FALSE,"Piso"
"212",FALSE,3,FALSE,TRUE,117000,FALSE,56,FALSE,FALSE,FALSE,"Piso"
"213",FALSE,3,FALSE,FALSE,306000,FALSE,104,FALSE,FALSE,FALSE,"Piso"
"214",FALSE,2,FALSE,FALSE,102000,FALSE,65,FALSE,FALSE,FALSE,"Casa"
"215",FALSE,4,FALSE,FALSE,375000,FALSE,206,FALSE,FALSE,FALSE,"Casa"
"216",FALSE,2,FALSE,FALSE,286670,FALSE,64,FALSE,FALSE,FALSE,"Piso"
"218",FALSE,3,FALSE,TRUE,192850,FALSE,100,FALSE,FALSE,FALSE,"Piso"
"219",FALSE,2,FALSE,FALSE,186000,FALSE,113,FALSE,FALSE,FALSE,"Otros"
"220",FALSE,4,FALSE,FALSE,375000,FALSE,206,FALSE,FALSE,FALSE,"Casa"
"221",FALSE,3,FALSE,TRUE,198000,FALSE,88,FALSE,FALSE,FALSE,"Piso"
"222",FALSE,3,FALSE,FALSE,265000,FALSE,130,FALSE,FALSE,FALSE,"Piso"
"223",FALSE,3,FALSE,FALSE,274890,TRUE,64,FALSE,FALSE,FALSE,"Piso"
"225",FALSE,3,FALSE,TRUE,253056.201527721,FALSE,171,FALSE,FALSE,FALSE,"Piso"
"226",FALSE,3,FALSE,FALSE,350000,FALSE,82,FALSE,FALSE,FALSE,"Piso"
"227",FALSE,3,FALSE,FALSE,138500,FALSE,60,FALSE,FALSE,FALSE,"Piso"
"228",FALSE,4,FALSE,FALSE,279000,TRUE,124,FALSE,FALSE,FALSE,"Piso"
"229",TRUE,3,FALSE,TRUE,420000,FALSE,102,FALSE,FALSE,FALSE,"Piso"
"230",FALSE,2,FALSE,FALSE,368500,TRUE,105,FALSE,FALSE,FALSE,"Piso"
"231",FALSE,3,FALSE,TRUE,207000,FALSE,63,FALSE,FALSE,FALSE,"Piso"
"232",FALSE,3,FALSE,FALSE,459888,TRUE,103,FALSE,FALSE,FALSE,"Piso"
"233",FALSE,4,FALSE,FALSE,186000,FALSE,113,FALSE,FALSE,FALSE,"Otros"
"235",FALSE,4,FALSE,TRUE,375000,FALSE,205,FALSE,FALSE,FALSE,"Casa"
"236",FALSE,4,FALSE,FALSE,208220,FALSE,125,FALSE,FALSE,FALSE,"Piso"
"237",FALSE,2,FALSE,FALSE,175980,TRUE,42,FALSE,FALSE,FALSE,"Piso"
"238",FALSE,4,FALSE,FALSE,237800,FALSE,90,TRUE,FALSE,FALSE,"Casa"
"239",FALSE,2,FALSE,TRUE,128000,FALSE,95,FALSE,FALSE,FALSE,"Casa"
"240",FALSE,2,FALSE,FALSE,255000,FALSE,168,FALSE,FALSE,FALSE,"Casa"
"241",FALSE,3,FALSE,TRUE,72000,FALSE,77,FALSE,FALSE,FALSE,"Piso"
"243",FALSE,3,FALSE,FALSE,389944,TRUE,103,FALSE,FALSE,FALSE,"Piso"
"244",FALSE,4,FALSE,FALSE,479695,TRUE,127,FALSE,FALSE,FALSE,"Piso"
"245",FALSE,2,FALSE,FALSE,247324,TRUE,64,FALSE,FALSE,FALSE,"Piso"
"246",FALSE,4,FALSE,FALSE,236000,FALSE,176,FALSE,FALSE,FALSE,"Casa"
"247",FALSE,3,FALSE,FALSE,255000,FALSE,168,FALSE,FALSE,FALSE,"Casa"
"248",FALSE,3,FALSE,FALSE,95700,FALSE,38,FALSE,FALSE,FALSE,"Piso"
"249",FALSE,2,FALSE,FALSE,178920,TRUE,43,FALSE,FALSE,FALSE,"Piso"
"250",FALSE,3,FALSE,FALSE,56000,FALSE,65,FALSE,FALSE,FALSE,"Casa"
"251",FALSE,3,FALSE,FALSE,350000,FALSE,82,FALSE,FALSE,FALSE,"Piso"
"252",FALSE,2,FALSE,FALSE,191460,TRUE,43,FALSE,FALSE,FALSE,"Piso"
"253",TRUE,3,FALSE,FALSE,394000,FALSE,209,FALSE,FALSE,FALSE,"Casa"
"254",FALSE,3,FALSE,FALSE,166000,FALSE,80,FALSE,FALSE,FALSE,"Piso"
"255",FALSE,2,FALSE,FALSE,230000,FALSE,111,FALSE,FALSE,FALSE,"Casa"
"256",FALSE,3,FALSE,FALSE,276400,FALSE,158,FALSE,FALSE,FALSE,"Casa"
"257",FALSE,4,FALSE,FALSE,304465.045430817,FALSE,152,FALSE,FALSE,FALSE,"Piso"
"258",FALSE,2,FALSE,FALSE,178920,TRUE,43,FALSE,FALSE,FALSE,"Piso"
"259",FALSE,3,FALSE,FALSE,249000,TRUE,125,FALSE,FALSE,FALSE,"Otros"
"260",TRUE,4,FALSE,FALSE,590000,FALSE,197,FALSE,FALSE,FALSE,"Casa"
"262",FALSE,2,FALSE,FALSE,205000,TRUE,44,FALSE,FALSE,FALSE,"Piso"
"263",FALSE,4,FALSE,FALSE,185000,TRUE,87,FALSE,FALSE,FALSE,"Piso"
"264",FALSE,3,FALSE,FALSE,314000,TRUE,65,FALSE,FALSE,FALSE,"Piso"
"265",FALSE,3,FALSE,FALSE,192850,FALSE,115,FALSE,FALSE,FALSE,"Piso"
"266",FALSE,2,FALSE,FALSE,258500,TRUE,73,FALSE,FALSE,FALSE,"Piso"
"267",FALSE,3,FALSE,FALSE,325000,TRUE,74,FALSE,FALSE,FALSE,"Piso"
"268",FALSE,3,FALSE,FALSE,325000,TRUE,74,FALSE,FALSE,FALSE,"Piso"
"269",FALSE,4,FALSE,TRUE,215000,FALSE,97,FALSE,FALSE,TRUE,"Piso"
"270",FALSE,2,FALSE,FALSE,178000,FALSE,85,TRUE,FALSE,FALSE,"Piso"
"271",FALSE,3,FALSE,FALSE,350000,FALSE,82,FALSE,FALSE,FALSE,"Piso"
"272",FALSE,4,FALSE,FALSE,290550,FALSE,180,TRUE,FALSE,FALSE,"Casa"
"273",FALSE,2,FALSE,FALSE,368500,TRUE,105,FALSE,FALSE,FALSE,"Piso"
"275",FALSE,4,FALSE,FALSE,399379,TRUE,119,TRUE,FALSE,FALSE,"Piso"
"276",FALSE,3,FALSE,TRUE,280000,FALSE,153,FALSE,FALSE,FALSE,"Casa"
"277",FALSE,4,FALSE,FALSE,335000,TRUE,112,FALSE,FALSE,FALSE,"Piso"
"279",FALSE,4,FALSE,FALSE,240000,TRUE,69,FALSE,FALSE,FALSE,"Piso"
"280",FALSE,4,FALSE,FALSE,208220,FALSE,118,FALSE,FALSE,FALSE,"Piso"
"281",FALSE,2,FALSE,FALSE,209000,FALSE,78,TRUE,FALSE,TRUE,"Piso"
"282",FALSE,3,FALSE,FALSE,285000,FALSE,155,TRUE,FALSE,FALSE,"Piso"
"283",FALSE,4,FALSE,FALSE,276400,FALSE,159,FALSE,FALSE,FALSE,"Casa"
"286",FALSE,3,FALSE,TRUE,255000,TRUE,69,FALSE,FALSE,FALSE,"Piso"
"288",FALSE,4,FALSE,TRUE,297800,FALSE,169,TRUE,FALSE,FALSE,"Casa"
"289",FALSE,4,FALSE,FALSE,289000,TRUE,110,FALSE,FALSE,FALSE,"Piso"
"290",FALSE,3,FALSE,FALSE,120000,TRUE,45,FALSE,FALSE,FALSE,"Otros"
"291",FALSE,3,FALSE,FALSE,230000,FALSE,88,FALSE,FALSE,FALSE,"Casa"
"293",FALSE,4,FALSE,TRUE,215000,FALSE,111,FALSE,FALSE,FALSE,"Piso"
